outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X10_konfrontacni_pojmenovani_celkem_spont.kat,PO,MR,6.73 (4.13),1.629,.109,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,PO,mental_age,1.76 (0.35),5.073,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,PO,MR:mental_age,-1.00 (0.48),-2.070,.043,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,ŘO,(Intercept),13.98 (2.11),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,ŘO,MR,9.70 (2.79),3.474,.001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,ŘO,mental_age,1.26 (0.22),5.655,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,ŘO,MR:mental_age,-1.32 (0.30),-4.409,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POČ,(Intercept),9.51 (3.80),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POČ,MR,8.62 (5.10),1.690,.097,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POČ,mental_age,1.82 (0.49),3.741,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POČ,MR:mental_age,-1.16 (0.65),-1.767,.083,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOS,(Intercept),6.28 (3.09),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOS,MR,14.48 (3.73),3.885,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOS,mental_age,2.36 (0.40),5.901,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,KOS,MR:mental_age,-2.02 (0.49),-4.138,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,SLO,(Intercept),11.33 (3.36),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,SLO,MR,8.85 (4.73),1.869,.067,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,SLO,mental_age,1.62 (0.42),3.892,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,SLO,MR:mental_age,-1.24 (0.59),-2.106,.040,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POR,(Intercept),10.26 (2.42),,,,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POR,MR,12.48 (3.22),3.869,< .001,*,
X10_konfrontacni_pojmenovani_celkem_spont.kat,POR,mental_age,1.83 (0.29),6.247,< .001,*,*
X10_konfrontacni_pojmenovani_celkem_spont.kat,POR,MR:mental_age,-1.77 (0.39),-4.500,< .001,*,
X11_vybaveni_s_napovedou_sum_pojm,DO,(Intercept),18.70 (0.69),,,,
X11_vybaveni_s_napovedou_sum_pojm,DO,MR,-0.13 (0.93),-0.139,.890,,
X11_vybaveni_s_napovedou_sum_pojm,DO,mental_age,0.12 (0.08),1.401,.167,,
X11_vybaveni_s_napovedou_sum_pojm,DO,MR:mental_age,-0.04 (0.11),-0.357,.723,,
X11_vybaveni_s_napovedou_sum_pojm,VE,(Intercept),19.37 (0.99),,,,
X11_vybaveni_s_napovedou_sum_pojm,VE,MR,1.32 (1.40),0.946,.348,,
X11_vybaveni_s_napovedou_sum_pojm,VE,mental_age,0.07 (0.11),0.577,.567,,
X11_vybaveni_s_napovedou_sum_pojm,VE,MR:mental_age,-0.24 (0.16),-1.496,.141,,
X11_vybaveni_s_napovedou_sum_pojm,KOD,(Intercept),18.63 (0.57),,,,
X11_vybaveni_s_napovedou_sum_pojm,KOD,MR,0.75 (0.75),1.006,.319,,
X11_vybaveni_s_napovedou_sum_pojm,KOD,mental_age,0.13 (0.07),1.848,.070,,
X11_vybaveni_s_napovedou_sum_pojm,KOD,MR:mental_age,-0.15 (0.09),-1.682,.099,,
X11_vybaveni_s_napovedou_sum_pojm,PO,(Intercept),18.07 (0.79),,,,
X11_vybaveni_s_napovedou_sum_pojm,PO,MR,0.17 (1.10),0.155,.877,,
X11_vybaveni_s_napovedou_sum_pojm,PO,mental_age,0.19 (0.09),2.064,.044,*,
X11_vybaveni_s_napovedou_sum_pojm,PO,MR:mental_age,-0.08 (0.13),-0.615,.541,,
X11_vybaveni_s_napovedou_sum_pojm,ŘO,(Intercept),18.68 (0.50),,,,
X11_vybaveni_s_napovedou_sum_pojm,ŘO,MR,-0.12 (0.66),-0.180,.858,,
X11_vybaveni_s_napovedou_sum_pojm,ŘO,mental_age,0.11 (0.05),2.089,.042,*,
X11_vybaveni_s_napovedou_sum_pojm,ŘO,MR:mental_age,-0.04 (0.07),-0.562,.577,,
X11_vybaveni_s_napovedou_sum_pojm,POČ,(Intercept),17.08 (1.06),,,,
X11_vybaveni_s_napovedou_sum_pojm,POČ,MR,1.11 (1.43),0.774,.442,,
X11_vybaveni_s_napovedou_sum_pojm,POČ,mental_age,0.34 (0.14),2.462,.017,*,
X11_vybaveni_s_napovedou_sum_pojm,POČ,MR:mental_age,-0.21 (0.18),-1.123,.266,,
X11_vybaveni_s_napovedou_sum_pojm,KOS,(Intercept),17.70 (0.81),,,,
X11_vybaveni_s_napovedou_sum_pojm,KOS,MR,-0.13 (0.97),-0.137,.892,,
X11_vybaveni_s_napovedou_sum_pojm,KOS,mental_age,0.26 (0.10),2.454,.018,*,
X11_vybaveni_s_napovedou_sum_pojm,KOS,MR:mental_age,-0.03 (0.13),-0.246,.807,,
X11_vybaveni_s_napovedou_sum_pojm,SLO,(Intercept),17.77 (0.85),,,,
X11_vybaveni_s_napovedou_sum_pojm,SLO,MR,0.15 (1.20),0.127,.899,,
X11_vybaveni_s_napovedou_sum_pojm,SLO,mental_age,0.24 (0.11),2.265,.028,*,
X11_vybaveni_s_napovedou_sum_pojm,SLO,MR:mental_age,-0.08 (0.15),-0.548,.586,,
X11_vybaveni_s_napovedou_sum_pojm,POR,(Intercept),18.42 (0.65),,,,
X11_vybaveni_s_napovedou_sum_pojm,POR,MR,-0.08 (0.87),-0.097,.923,,
X11_vybaveni_s_napovedou_sum_pojm,POR,mental_age,0.15 (0.08),1.936,.058,,
X11_vybaveni_s_napovedou_sum_pojm,POR,MR:mental_age,-0.04 (0.11),-0.425,.673,,
X11_vybaveni_s_napovedou_sum_vybav,DO,(Intercept),18.87 (0.82),,,,
X11_vybaveni_s_napovedou_sum_vybav,DO,MR,1.33 (1.11),1.197,.237,,
X11_vybaveni_s_napovedou_sum_vybav,DO,mental_age,0.07 (0.10),0.738,.464,,
X11_vybaveni_s_napovedou_sum_vybav,DO,MR:mental_age,-0.14 (0.13),-1.065,.292,,
X11_vybaveni_s_napovedou_sum_vybav,VE,(Intercept),19.29 (1.23),,,,
X11_vybaveni_s_napovedou_sum_vybav,VE,MR,0.50 (1.75),0.288,.775,,
X11_vybaveni_s_napovedou_sum_vybav,VE,mental_age,0.05 (0.14),0.319,.751,,
X11_vybaveni_s_napovedou_sum_vybav,VE,MR:mental_age,-0.06 (0.20),-0.311,.757,,
X11_vybaveni_s_napovedou_sum_vybav,KOD,(Intercept),19.92 (0.61),,,,
X11_vybaveni_s_napovedou_sum_vybav,KOD,MR,-0.92 (0.80),-1.151,.255,,
X11_vybaveni_s_napovedou_sum_vybav,KOD,mental_age,-0.03 (0.07),-0.477,.635,,
X11_vybaveni_s_napovedou_sum_vybav,KOD,MR:mental_age,0.12 (0.10),1.218,.229,,
X11_vybaveni_s_napovedou_sum_vybav,PO,(Intercept),18.77 (0.61),,,,
X11_vybaveni_s_napovedou_sum_vybav,PO,MR,0.12 (0.85),0.142,.888,,
X11_vybaveni_s_napovedou_sum_vybav,PO,mental_age,0.12 (0.07),1.635,.108,,
X11_vybaveni_s_napovedou_sum_vybav,PO,MR:mental_age,-0.03 (0.10),-0.269,.789,,
X11_vybaveni_s_napovedou_sum_vybav,ŘO,(Intercept),19.95 (0.34),,,,
X11_vybaveni_s_napovedou_sum_vybav,ŘO,MR,-0.41 (0.45),-0.902,.371,,
X11_vybaveni_s_napovedou_sum_vybav,ŘO,mental_age,-0.01 (0.04),-0.174,.863,,
X11_vybaveni_s_napovedou_sum_vybav,ŘO,MR:mental_age,0.02 (0.05),0.372,.712,,
X11_vybaveni_s_napovedou_sum_vybav,POČ,(Intercept),19.12 (1.35),,,,
X11_vybaveni_s_napovedou_sum_vybav,POČ,MR,-0.27 (1.82),-0.148,.883,,
X11_vybaveni_s_napovedou_sum_vybav,POČ,mental_age,0.04 (0.17),0.205,.839,,
X11_vybaveni_s_napovedou_sum_vybav,POČ,MR:mental_age,0.07 (0.23),0.291,.772,,
X11_vybaveni_s_napovedou_sum_vybav,KOS,(Intercept),20.24 (0.93),,,,
X11_vybaveni_s_napovedou_sum_vybav,KOS,MR,-0.47 (1.12),-0.421,.675,,
X11_vybaveni_s_napovedou_sum_vybav,KOS,mental_age,-0.06 (0.12),-0.534,.596,,
X11_vybaveni_s_napovedou_sum_vybav,KOS,MR:mental_age,0.05 (0.15),0.320,.750,,
X11_vybaveni_s_napovedou_sum_vybav,SLO,(Intercept),20.59 (0.99),,,,
X11_vybaveni_s_napovedou_sum_vybav,SLO,MR,-1.35 (1.39),-0.965,.339,,
X11_vybaveni_s_napovedou_sum_vybav,SLO,mental_age,-0.13 (0.12),-1.042,.302,,
X11_vybaveni_s_napovedou_sum_vybav,SLO,MR:mental_age,0.18 (0.17),1.030,.308,,
X11_vybaveni_s_napovedou_sum_vybav,POR,(Intercept),20.11 (0.72),,,,
X11_vybaveni_s_napovedou_sum_vybav,POR,MR,-1.05 (0.95),-1.101,.276,,
X11_vybaveni_s_napovedou_sum_vybav,POR,mental_age,-0.06 (0.09),-0.670,.506,,
X11_vybaveni_s_napovedou_sum_vybav,POR,MR:mental_age,0.13 (0.12),1.139,.260,,
X11_vybaveni_s_napovedou_sum_spont_vybav,DO,(Intercept),3.12 (2.16),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,DO,MR,7.35 (2.92),2.518,.015,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,DO,mental_age,0.57 (0.26),2.211,.031,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,DO,MR:mental_age,-0.76 (0.35),-2.178,.034,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,VE,(Intercept),7.27 (4.89),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,VE,MR,-2.02 (6.93),-0.291,.772,,
X11_vybaveni_s_napovedou_sum_spont_vybav,VE,mental_age,0.34 (0.56),0.600,.551,,
X11_vybaveni_s_napovedou_sum_spont_vybav,VE,MR:mental_age,0.09 (0.80),0.112,.911,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOD,(Intercept),3.68 (2.18),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOD,MR,3.45 (2.85),1.211,.231,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOD,mental_age,0.60 (0.26),2.329,.024,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOD,MR:mental_age,-0.37 (0.34),-1.081,.285,,
X11_vybaveni_s_napovedou_sum_spont_vybav,PO,(Intercept),0.28 (3.07),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,PO,MR,6.07 (4.25),1.428,.159,,
X11_vybaveni_s_napovedou_sum_spont_vybav,PO,mental_age,0.95 (0.36),2.666,.010,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,PO,MR:mental_age,-0.64 (0.49),-1.303,.198,,
X11_vybaveni_s_napovedou_sum_spont_vybav,ŘO,(Intercept),3.25 (1.88),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,ŘO,MR,2.87 (2.49),1.152,.255,,
X11_vybaveni_s_napovedou_sum_spont_vybav,ŘO,mental_age,0.63 (0.20),3.150,.003,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,ŘO,MR:mental_age,-0.30 (0.27),-1.137,.261,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POČ,(Intercept),-4.79 (3.14),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POČ,MR,5.20 (4.21),1.233,.223,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POČ,mental_age,1.61 (0.40),4.006,< .001,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,POČ,MR:mental_age,-0.50 (0.54),-0.921,.361,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOS,(Intercept),2.16 (3.56),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOS,MR,4.93 (4.29),1.151,.255,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOS,mental_age,0.79 (0.46),1.708,.094,,
X11_vybaveni_s_napovedou_sum_spont_vybav,KOS,MR:mental_age,-0.53 (0.56),-0.946,.349,,
X11_vybaveni_s_napovedou_sum_spont_vybav,SLO,(Intercept),0.80 (3.82),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,SLO,MR,5.84 (5.39),1.083,.284,,
X11_vybaveni_s_napovedou_sum_spont_vybav,SLO,mental_age,1.03 (0.47),2.164,.035,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,SLO,MR:mental_age,-0.74 (0.67),-1.103,.275,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POR,(Intercept),2.63 (2.52),,,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POR,MR,3.05 (3.36),0.907,.369,,
X11_vybaveni_s_napovedou_sum_spont_vybav,POR,mental_age,0.73 (0.31),2.398,.020,*,
X11_vybaveni_s_napovedou_sum_spont_vybav,POR,MR:mental_age,-0.32 (0.41),-0.772,.444,,
X11_vybaveni_s_napovedou_sum_napoveda,DO,(Intercept),10.36 (2.44),,,,
X11_vybaveni_s_napovedou_sum_napoveda,DO,MR,-1.62 (3.29),-0.493,.624,,
X11_vybaveni_s_napovedou_sum_napoveda,DO,mental_age,-0.14 (0.29),-0.468,.641,,
X11_vybaveni_s_napovedou_sum_napoveda,DO,MR:mental_age,0.23 (0.40),0.584,.562,,
X11_vybaveni_s_napovedou_sum_napoveda,VE,(Intercept),4.79 (4.53),,,,
X11_vybaveni_s_napovedou_sum_napoveda,VE,MR,6.05 (6.42),0.942,.351,,
X11_vybaveni_s_napovedou_sum_napoveda,VE,mental_age,0.34 (0.52),0.659,.513,,
X11_vybaveni_s_napovedou_sum_napoveda,VE,MR:mental_age,-0.50 (0.74),-0.675,.503,,
X11_vybaveni_s_napovedou_sum_napoveda,KOD,(Intercept),10.50 (2.26),,,,
X11_vybaveni_s_napovedou_sum_napoveda,KOD,MR,0.62 (2.95),0.211,.834,,
X11_vybaveni_s_napovedou_sum_napoveda,KOD,mental_age,-0.16 (0.27),-0.610,.544,,
X11_vybaveni_s_napovedou_sum_napoveda,KOD,MR:mental_age,-0.05 (0.35),-0.131,.896,,
X11_vybaveni_s_napovedou_sum_napoveda,PO,(Intercept),13.17 (2.82),,,,
X11_vybaveni_s_napovedou_sum_napoveda,PO,MR,-2.97 (3.91),-0.758,.452,,
X11_vybaveni_s_napovedou_sum_napoveda,PO,mental_age,-0.43 (0.33),-1.322,.192,,
X11_vybaveni_s_napovedou_sum_napoveda,PO,MR:mental_age,0.35 (0.46),0.770,.445,,
X11_vybaveni_s_napovedou_sum_napoveda,ŘO,(Intercept),11.74 (1.82),,,,
X11_vybaveni_s_napovedou_sum_napoveda,ŘO,MR,0.66 (2.42),0.274,.785,,
X11_vybaveni_s_napovedou_sum_napoveda,ŘO,mental_age,-0.30 (0.19),-1.534,.131,,
X11_vybaveni_s_napovedou_sum_napoveda,ŘO,MR:mental_age,-0.04 (0.26),-0.147,.884,,
X11_vybaveni_s_napovedou_sum_napoveda,POČ,(Intercept),11.84 (3.56),,,,
X11_vybaveni_s_napovedou_sum_napoveda,POČ,MR,4.38 (4.77),0.918,.363,,
X11_vybaveni_s_napovedou_sum_napoveda,POČ,mental_age,-0.31 (0.45),-0.685,.497,,
X11_vybaveni_s_napovedou_sum_napoveda,POČ,MR:mental_age,-0.56 (0.61),-0.922,.361,,
X11_vybaveni_s_napovedou_sum_napoveda,KOS,(Intercept),13.62 (3.65),,,,
X11_vybaveni_s_napovedou_sum_napoveda,KOS,MR,-2.54 (4.40),-0.577,.566,,
X11_vybaveni_s_napovedou_sum_napoveda,KOS,mental_age,-0.57 (0.47),-1.214,.230,,
X11_vybaveni_s_napovedou_sum_napoveda,KOS,MR:mental_age,0.36 (0.58),0.615,.541,,
X11_vybaveni_s_napovedou_sum_napoveda,SLO,(Intercept),10.75 (3.74),,,,
X11_vybaveni_s_napovedou_sum_napoveda,SLO,MR,1.52 (5.27),0.288,.774,,
X11_vybaveni_s_napovedou_sum_napoveda,SLO,mental_age,-0.23 (0.46),-0.494,.623,,
X11_vybaveni_s_napovedou_sum_napoveda,SLO,MR:mental_age,-0.12 (0.65),-0.184,.855,,
X11_vybaveni_s_napovedou_sum_napoveda,POR,(Intercept),10.88 (2.62),,,,
X11_vybaveni_s_napovedou_sum_napoveda,POR,MR,1.44 (3.49),0.411,.683,,
X11_vybaveni_s_napovedou_sum_napoveda,POR,mental_age,-0.20 (0.32),-0.624,.535,,
X11_vybaveni_s_napovedou_sum_napoveda,POR,MR:mental_age,-0.16 (0.43),-0.377,.708,,
X11_vybaveni_s_napovedou_sum_konfab,DO,(Intercept),1.74 (0.84),,,,
X11_vybaveni_s_napovedou_sum_konfab,DO,MR,-0.39 (1.13),-0.348,.729,,
X11_vybaveni_s_napovedou_sum_konfab,DO,mental_age,-0.14 (0.10),-1.432,.158,,
X11_vybaveni_s_napovedou_sum_konfab,DO,MR:mental_age,0.06 (0.14),0.443,.659,,
X11_vybaveni_s_napovedou_sum_konfab,VE,(Intercept),0.54 (1.12),,,,
X11_vybaveni_s_napovedou_sum_konfab,VE,MR,-0.01 (1.59),-0.009,.993,,
X11_vybaveni_s_napovedou_sum_konfab,VE,mental_age,-0.03 (0.13),-0.234,.816,,
X11_vybaveni_s_napovedou_sum_konfab,VE,MR:mental_age,0.05 (0.18),0.259,.797,,
X11_vybaveni_s_napovedou_sum_konfab,KOD,(Intercept),0.81 (0.57),,,,
X11_vybaveni_s_napovedou_sum_konfab,KOD,MR,-1.09 (0.74),-1.468,.148,,
X11_vybaveni_s_napovedou_sum_konfab,KOD,mental_age,-0.05 (0.07),-0.767,.446,,
X11_vybaveni_s_napovedou_sum_konfab,KOD,MR:mental_age,0.17 (0.09),1.963,.055,,
X11_vybaveni_s_napovedou_sum_konfab,PO,(Intercept),1.54 (0.79),,,,
X11_vybaveni_s_napovedou_sum_konfab,PO,MR,0.15 (1.09),0.142,.888,,
X11_vybaveni_s_napovedou_sum_konfab,PO,mental_age,-0.14 (0.09),-1.528,.132,,
X11_vybaveni_s_napovedou_sum_konfab,PO,MR:mental_age,0.02 (0.13),0.152,.880,,
X11_vybaveni_s_napovedou_sum_konfab,ŘO,(Intercept),0.76 (0.53),,,,
X11_vybaveni_s_napovedou_sum_konfab,ŘO,MR,-0.15 (0.70),-0.213,.832,,
X11_vybaveni_s_napovedou_sum_konfab,ŘO,mental_age,-0.04 (0.06),-0.729,.469,,
X11_vybaveni_s_napovedou_sum_konfab,ŘO,MR:mental_age,0.05 (0.08),0.646,.521,,
X11_vybaveni_s_napovedou_sum_konfab,POČ,(Intercept),1.41 (1.30),,,,
X11_vybaveni_s_napovedou_sum_konfab,POČ,MR,-0.85 (1.74),-0.489,.627,,
X11_vybaveni_s_napovedou_sum_konfab,POČ,mental_age,-0.11 (0.17),-0.679,.500,,
X11_vybaveni_s_napovedou_sum_konfab,POČ,MR:mental_age,0.13 (0.22),0.575,.568,,
X11_vybaveni_s_napovedou_sum_konfab,KOS,(Intercept),1.00 (0.91),,,,
X11_vybaveni_s_napovedou_sum_konfab,KOS,MR,0.04 (1.10),0.038,.970,,
X11_vybaveni_s_napovedou_sum_konfab,KOS,mental_age,-0.08 (0.12),-0.672,.505,,
X11_vybaveni_s_napovedou_sum_konfab,KOS,MR:mental_age,0.03 (0.14),0.203,.840,,
X11_vybaveni_s_napovedou_sum_konfab,SLO,(Intercept),-0.04 (0.89),,,,
X11_vybaveni_s_napovedou_sum_konfab,SLO,MR,1.17 (1.25),0.938,.353,,
X11_vybaveni_s_napovedou_sum_konfab,SLO,mental_age,0.05 (0.11),0.497,.621,,
X11_vybaveni_s_napovedou_sum_konfab,SLO,MR:mental_age,-0.11 (0.16),-0.720,.475,,
X11_vybaveni_s_napovedou_sum_konfab,POR,(Intercept),0.78 (0.71),,,,
X11_vybaveni_s_napovedou_sum_konfab,POR,MR,0.10 (0.94),0.103,.919,,
X11_vybaveni_s_napovedou_sum_konfab,POR,mental_age,-0.04 (0.09),-0.514,.609,,
X11_vybaveni_s_napovedou_sum_konfab,POR,MR:mental_age,0.02 (0.11),0.161,.872,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,DO,(Intercept),13.49 (2.38),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,DO,MR,5.73 (3.22),1.780,.081,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,DO,mental_age,0.44 (0.29),1.526,.133,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,DO,MR:mental_age,-0.53 (0.39),-1.378,.174,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,VE,(Intercept),12.07 (3.44),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,VE,MR,4.03 (4.88),0.826,.413,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,VE,mental_age,0.68 (0.40),1.719,.092,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,VE,MR:mental_age,-0.41 (0.56),-0.729,.469,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOD,(Intercept),14.18 (1.78),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOD,MR,4.07 (2.33),1.749,.086,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOD,mental_age,0.44 (0.21),2.080,.043,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOD,MR:mental_age,-0.42 (0.28),-1.490,.142,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,PO,(Intercept),13.45 (2.16),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,PO,MR,3.10 (2.99),1.038,.304,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,PO,mental_age,0.52 (0.25),2.061,.044,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,PO,MR:mental_age,-0.29 (0.35),-0.845,.402,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,ŘO,(Intercept),14.99 (1.49),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,ŘO,MR,3.53 (1.98),1.782,.081,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,ŘO,mental_age,0.33 (0.16),2.088,.042,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,ŘO,MR:mental_age,-0.34 (0.21),-1.609,.114,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POČ,(Intercept),7.05 (3.45),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POČ,MR,9.57 (4.62),2.071,.043,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POČ,mental_age,1.30 (0.44),2.946,.005,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POČ,MR:mental_age,-1.06 (0.59),-1.792,.079,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOS,(Intercept),15.78 (3.01),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOS,MR,2.39 (3.63),0.658,.514,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOS,mental_age,0.21 (0.39),0.543,.589,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,KOS,MR:mental_age,-0.18 (0.48),-0.370,.713,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,SLO,(Intercept),11.55 (2.80),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,SLO,MR,7.36 (3.95),1.865,.068,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,SLO,mental_age,0.80 (0.35),2.298,.026,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,SLO,MR:mental_age,-0.86 (0.49),-1.753,.086,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POR,(Intercept),13.50 (2.06),,,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POR,MR,4.48 (2.74),1.635,.108,,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POR,mental_age,0.53 (0.25),2.142,.037,*,
X11_vybaveni_s_napovedou_sum_vybav_spont_napoveda,POR,MR:mental_age,-0.48 (0.33),-1.425,.160,,
X12_prospektivni_pamet_pro_pa_1.8_sum,DO,(Intercept),1.38 (2.72),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,DO,MR,9.86 (3.67),2.686,.010,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,DO,mental_age,1.06 (0.33),3.248,.002,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,DO,MR:mental_age,-1.25 (0.44),-2.826,.007,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,VE,(Intercept),2.58 (4.09),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,VE,MR,9.52 (5.80),1.640,.107,,
X12_prospektivni_pamet_pro_pa_1.8_sum,VE,mental_age,0.91 (0.47),1.918,.061,,
X12_prospektivni_pamet_pro_pa_1.8_sum,VE,MR:mental_age,-1.18 (0.67),-1.765,.083,,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOD,(Intercept),2.47 (2.10),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOD,MR,7.76 (2.75),2.823,.007,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOD,mental_age,0.91 (0.25),3.663,< .001,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOD,MR:mental_age,-0.98 (0.33),-2.969,.005,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,PO,(Intercept),-2.38 (3.14),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,PO,MR,10.72 (4.34),2.468,.017,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,PO,mental_age,1.49 (0.36),4.086,< .001,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,PO,MR:mental_age,-1.33 (0.51),-2.623,.011,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,ŘO,(Intercept),3.72 (1.82),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,ŘO,MR,3.08 (2.41),1.278,.207,,
X12_prospektivni_pamet_pro_pa_1.8_sum,ŘO,mental_age,0.78 (0.19),4.030,< .001,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,ŘO,MR:mental_age,-0.44 (0.26),-1.711,.093,,
X12_prospektivni_pamet_pro_pa_1.8_sum,POČ,(Intercept),0.31 (4.35),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,POČ,MR,6.66 (5.83),1.143,.258,,
X12_prospektivni_pamet_pro_pa_1.8_sum,POČ,mental_age,1.16 (0.56),2.093,.041,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,POČ,MR:mental_age,-0.81 (0.75),-1.077,.286,,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOS,(Intercept),-0.21 (3.20),,,,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOS,MR,7.25 (3.86),1.879,.066,,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOS,mental_age,1.27 (0.41),3.055,.004,*,
X12_prospektivni_pamet_pro_pa_1.8_sum,KOS,MR:mental_age,-0.90 (0.51),-1.770,.083,,
